"id","description","last_updated"
"319874","HUMMUS, SABRA CLASSIC","2019-04-01"
"319875","HUMMUS, SABRA CLASSIC","2019-04-01"
"319876","HUMMUS, SABRA CLASSIC","2019-04-01"
"319877","Hummus","2019-04-01"
"319878","Hummus","2019-04-01"
"319879","HUMMUS, SABRA CLASSIC","2019-04-01"
"319880","HUMMUS, SABRA CLASSIC","2019-04-01"
"319881","HUMMUS, SABRA CLASSIC","2019-04-01"
"319882","Hummus","2019-04-01"
"319883","Hummus","2019-04-01"
"319884","Hummus","2019-04-01"
"319885","HUMMUS, SABRA CLASSIC","2019-04-01"
"319886","HUMMUS, SABRA CLASSIC","2019-04-01"
"319887","HUMMUS, SABRA CLASSIC","2019-04-01"
"319888","HUMMUS, SABRA CLASSIC","2019-04-01"
"319889","HUMMUS, SABRA CLASSIC","2019-04-01"
"319890","HUMMUS, SABRA CLASSIC","2019-04-01"
"319891","HUMMUS, SABRA CLASSIC","2019-04-01"
"319892","Hummus","2019-04-01"
"319893","Hummus","2019-04-01"
"319894","HUMMUS, OTHER","2019-04-01"
"319895","HUMMUS, OTHER","2019-04-01"
"319896","HUMMUS, OTHER","2019-04-01"
"319897","HUMMUS, OTHER","2019-04-01"
"319898","HUMMUS, OTHER","2019-04-01"
"319899","Hummus","2019-04-01"
"319900","Hummus","2019-04-01"
"319901","HUMMUS, SABRA CLASSIC","2019-04-01"
"319902","HUMMUS, SABRA CLASSIC","2019-04-01"
"319903","HUMMUS, SABRA CLASSIC","2019-04-01"
"319904","HUMMUS, SABRA CLASSIC","2019-04-01"
"319905","HUMMUS, SABRA CLASSIC","2019-04-01"
"319906","Hummus - NFY12140O","2019-04-01"
"319907","Hummus - NFY12140P","2019-04-01"
"319908","Hummus","2019-04-01"
"319909","Hummus","2019-04-01"
"319910","Hummus","2019-04-01"
"319911","Hummus","2019-04-01"
"319912","Hummus","2019-04-01"
"319913","Hummus","2019-04-01"
"319914","Hummus","2019-04-01"
"319915","Hummus - NFY12140Q","2019-04-01"
"319916","Hummus - NFY12140R","2019-04-01"
"319917","Hummus - NFY12140S","2019-04-01"
"319918","Hummus - NFY12140F","2019-04-01"
"319919","Hummus - NFY12140G","2019-04-01"
"319920","Hummus, Sabra Classic - CA1, IN","2019-04-01"
"319921","HUMMUS, SABRA CLASSIC","2019-04-01"
"319922","HUMMUS, SABRA CLASSIC","2019-04-01"
