"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"78368","1097549","","1","93","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","93","0",""
"78371","1097550","","1","100","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","100","0",""
"78373","1097551","","2","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0",""
"78372","1097551","","1","100","14091","Beverages, almond milk, unsweetened, shelf stable","GM","0","NONE","100","0",""
"78374","1097552","","1","100","14639","Beverages, rice milk, unsweetened","GM","0","NONE","100","0",""
"78375","1097553","","1","100","14171","Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2","GM","0","NONE","100","0",""
"78377","1097554","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78376","1097554","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78378","1097555","","1","100","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","100","0",""
"78379","1097556","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78380","1097556","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78381","1097557","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78382","1097557","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78383","1097558","","1","100","1116","Yogurt, plain, whole milk","GM","0","NONE","100","0",""
"78384","1097558","","2","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78385","1097559","","1","100","1117","Yogurt, plain, low fat","GM","0","NONE","100","0",""
"78386","1097559","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78387","1097560","","1","100","1118","Yogurt, plain, skim milk","GM","0","NONE","100","0",""
"78388","1097560","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78389","1097561","","1","100","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","100","0",""
"78390","1097562","","1","100","1293","Yogurt, Greek, plain, whole milk","GM","0","NONE","100","0",""
"78391","1097563","","1","100","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","100","0",""
"78392","1097564","","1","100","1256","Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)","GM","0","NONE","100","0",""
"78395","1097565","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78393","1097565","","1","88","1117","Yogurt, plain, low fat","GM","0","NONE","88","0",""
"78394","1097565","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78398","1097566","","3","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78396","1097566","","1","88","1116","Yogurt, plain, whole milk","GM","0","NONE","88","0",""
"78397","1097566","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78401","1097567","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78400","1097567","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78399","1097567","","1","88","1117","Yogurt, plain, low fat","GM","0","NONE","88","0",""
"78404","1097568","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78403","1097568","","2","12","19297","Jams and preserves","GM","0","NONE","12","0",""
"78402","1097568","","1","88","1118","Yogurt, plain, skim milk","GM","0","NONE","88","0",""
"78405","1097569","","1","100","1284","Yogurt, Greek, strawberry, lowfat","GM","0","NONE","100","0",""
"78406","1097570","","1","100","1294","Yogurt, Greek, fruit, whole milk","GM","0","NONE","100","0",""
"78407","1097571","","1","100","1284","Yogurt, Greek, strawberry, lowfat","GM","0","NONE","100","0",""
"78408","1097572","","1","100","1285","Yogurt, Greek, strawberry, nonfat","GM","0","NONE","100","0",""
"78411","1097573","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78410","1097573","","2","3","19335","Sugars, granulated","GM","0","NONE","3","0",""
"78409","1097573","","1","97","1117","Yogurt, plain, low fat","GM","0","NONE","97","0",""
"78412","1097574","","1","95","1116","Yogurt, plain, whole milk","GM","0","NONE","95","0",""
"78414","1097574","","3","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78413","1097574","","2","5","19335","Sugars, granulated","GM","0","NONE","5","0",""
"78417","1097575","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78415","1097575","","1","97","1117","Yogurt, plain, low fat","GM","0","NONE","97","0",""
"78416","1097575","","2","3","19335","Sugars, granulated","GM","0","NONE","3","0",""
"78420","1097576","","3","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78418","1097576","","1","97","1118","Yogurt, plain, skim milk","GM","0","NONE","97","0",""
"78419","1097576","","2","3","19335","Sugars, granulated","GM","0","NONE","3","0",""
"78421","1097577","","1","100","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","100","0",""
"78423","1097578","","2","2","1003","Butter oil, anhydrous","GM","0","NONE","2","0",""
"78422","1097578","","1","98","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","98","0",""
"78424","1097579","","1","100","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","100","0",""
"78425","1097580","","1","100","1286","Yogurt, Greek, vanilla, nonfat","GM","0","NONE","100","0",""
"78426","1097581","","1","80","1297","Yogurt, Greek, vanilla, lowfat","GM","0","NONE","80","0",""
"78427","1097581","1101740","2","20","57227000","Cereal, granola","GM","0","NONE","20","0",""
"78428","1097582","","1","70","1117","Yogurt, plain, low fat","GM","0","NONE","70","0",""
"78431","1097582","","4","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
"78430","1097582","","3","10","19297","Jams and preserves","GM","0","NONE","10","0",""
"78429","1097582","","2","20","14411","Beverages, water, tap, drinking","GM","0","NONE","20","0",""
"78432","1097583","","1","20","4025","Salad dressing, mayonnaise, regular","GM","0","NONE","20","0",""
"78433","1097583","","2","80","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","80","0",""
"78435","1097583","","4","2","11819","Peppers, hot chili, red, raw","GM","0","NONE","2","0",""
"78434","1097583","","3","1.3","2047","Salt, table, iodized","GM","0","NONE","1.3","0",""
"78436","1097584","","1","20","4025","Salad dressing, mayonnaise, regular","GM","0","NONE","20","0",""
"78439","1097584","1104578","4","1","99997510","Onions, cooked, as ingredient","GM","0","NONE","1","0",""
"78437","1097584","","2","80","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","80","0",""
"78440","1097584","","5","1","2029","Spices, parsley, dried","GM","0","NONE","1","0",""
"78438","1097584","","3","1.3","2047","Salt, table, iodized","GM","0","NONE","1.3","0",""
"78441","1097585","","1","20","4025","Salad dressing, mayonnaise, regular","GM","0","NONE","20","0",""
"78444","1097585","1104578","4","10","99997510","Onions, cooked, as ingredient","GM","0","NONE","10","0",""
"78443","1097585","","3","1.3","2047","Salt, table, iodized","GM","0","NONE","1.3","0",""
"78445","1097585","1097511","5","20","11100000","Milk, NFS","GM","0","NONE","20","0",""
"78442","1097585","","2","80","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","80","0",""
"78447","1097586","","2","80","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","80","0",""
"78450","1097586","","5","1","2029","Spices, parsley, dried","GM","0","NONE","1","0",""
"78449","1097586","","4","1","1094","Milk, buttermilk, dried","GM","0","NONE","1","0",""
"78446","1097586","","1","20","4025","Salad dressing, mayonnaise, regular","GM","0","NONE","20","0",""
"78448","1097586","","3","1.3","2047","Salt, table, iodized","GM","0","NONE","1.3","0",""
"78451","1097587","","1","20","4025","Salad dressing, mayonnaise, regular","GM","0","NONE","20","0",""
"78454","1097587","","4","10","11464","Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt","GM","0","NONE","10","0",""
"78452","1097587","","2","80","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","80","0",""
"78453","1097587","","3","1.3","2047","Salt, table, iodized","GM","0","NONE","1.3","0",""
"78455","1097587","1097511","5","20","11100000","Milk, NFS","GM","0","NONE","20","0",""
"78459","1097588","","4","15","9152","Lemon juice, raw","GM","0","NONE","15","0",""
"78461","1097588","","6","6","11215","Garlic, raw","GM","0","NONE","6","0",""
"78456","1097588","","1","455","1293","Yogurt, Greek, plain, whole milk","GM","0","NONE","455","0",""
"78460","1097588","","5","6","2047","Salt, table, iodized","GM","0","NONE","6","0",""
"78457","1097588","","2","300","11205","Cucumber, with peel, raw","GM","0","NONE","300","0",""
"78458","1097588","","3","28","4053","Oil, olive, salad or cooking","GM","0","NONE","28","0",""
"78464","1097589","","3","1.3","2047","Salt, table, iodized","GM","0","NONE","1.3","0",""
"78465","1097589","1104578","4","1","99997510","Onions, cooked, as ingredient","GM","0","NONE","1","0",""
"78466","1097589","","5","1","2029","Spices, parsley, dried","GM","0","NONE","1","0",""
"78463","1097589","","2","80","1287","Yogurt, Greek, plain, lowfat","GM","0","NONE","80","0",""
"78462","1097589","","1","20","4025","Salad dressing, mayonnaise, regular","GM","0","NONE","20","0",""
"78467","1097590","","1","100","21463","Yogurt parfait, lowfat, with fruit and granola","GM","0","NONE","100","0",""
"78468","1097590","","2","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78469","1097591","","1","100","42187","Frozen yogurts, flavors other than chocolate","GM","0","NONE","100","0",""
"78470","1097592","","1","100","42187","Frozen yogurts, flavors other than chocolate","GM","0","NONE","100","0",""
"78471","1097593","","1","100","42186","Frozen yogurts, chocolate","GM","0","NONE","100","0",""
"78472","1097594","","1","100","19293","Frozen yogurts, vanilla, soft-serve","GM","0","NONE","100","0",""
"78474","1097595","","2","2","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","2","0",""
"78473","1097595","","1","98","19293","Frozen yogurts, vanilla, soft-serve","GM","0","NONE","98","0",""
"78475","1097596","","1","75","42187","Frozen yogurts, flavors other than chocolate","GM","0","NONE","75","0",""
"78476","1097596","","2","25","18157","Cookies, chocolate wafers","GM","0","NONE","25","0",""
"78477","1097597","","1","100","42187","Frozen yogurts, flavors other than chocolate","GM","0","NONE","100","0",""
"78478","1097598","","1","100","42186","Frozen yogurts, chocolate","GM","0","NONE","100","0",""
"78480","1097599","","2","5","18271","Ice cream cones, cake or wafer-type","GM","0","NONE","5","0",""
"78479","1097599","","1","120","42186","Frozen yogurts, chocolate","GM","0","NONE","120","0",""
"78482","1097600","","2","5","18271","Ice cream cones, cake or wafer-type","GM","0","NONE","5","0",""
"78481","1097600","","1","120","42187","Frozen yogurts, flavors other than chocolate","GM","0","NONE","120","0",""
"78484","1097601","","2","15","18272","Ice cream cones, sugar, rolled-type","GM","0","NONE","15","0",""
"78483","1097601","","1","240","42187","Frozen yogurts, flavors other than chocolate","GM","0","NONE","240","0",""
"78485","1097602","","1","240","42186","Frozen yogurts, chocolate","GM","0","NONE","240","0",""
"78486","1097602","","2","15","18272","Ice cream cones, sugar, rolled-type","GM","0","NONE","15","0",""
"78487","1097603","","1","100","1116","Yogurt, plain, whole milk","GM","0","NONE","100","0",""
"78488","1097603","","2","0.011","999328","Vitamin D as ingredient","GM","0","NONE","0.011","0",""
"78489","1097604","","1","100","3956","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified","GM","0","NONE","100","0",""
"78490","1097605","","1","100","3965","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified","GM","0","NONE","100","0",""
"78491","1097606","","1","100","3956","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified","GM","0","NONE","100","0",""
"78492","1097607","","1","100","1292","Milk, chocolate, fat free, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78493","1097608","","1","100","1102","Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78494","1097609","","1","100","1103","Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78495","1097610","","1","100","1292","Milk, chocolate, fat free, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78496","1097611","","1","100","1104","Milk, chocolate, lowfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78497","1097612","","1","100","1305","Milk, chocolate, lowfat, reduced sugar","GM","0","NONE","100","0",""
"78498","1097613","","1","100","1104","Milk, chocolate, lowfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78499","1097614","","1","100","1292","Milk, chocolate, fat free, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78500","1097615","","1","100","1104","Milk, chocolate, lowfat, with added vitamin A and vitamin D","GM","0","NONE","100","0",""
"78501","1097616","","1","8","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","FO","10205","1 cup","244","2154",""
"78502","1097616","","2","56","19924","Syrup, NESTLE, chocolate","GM","0","NONE","56","0",""
"78504","1097617","","2","56","19924","Syrup, NESTLE, chocolate","GM","0","NONE","56","0",""
"78503","1097617","","1","8","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","FO","10205","1 cup","244","2154",""
"78505","1097618","","1","122","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","122","0",""
"78506","1097618","","2","56","19924","Syrup, NESTLE, chocolate","GM","0","NONE","56","0",""
"78507","1097618","1097548","3","122","11350000","Almond milk, sweetened","GM","0","NONE","122","0",""
"78509","1097619","","2","56","19924","Syrup, NESTLE, chocolate","GM","0","NONE","56","0",""
"78510","1097619","","3","2","1053","Cream, fluid, heavy whipping","TB","10287","1 cup whipped","14.938","0",""
"78508","1097619","","1","8","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","FO","10205","1 cup","244","2154",""
"78512","1097620","","2","56","19924","Syrup, NESTLE, chocolate","GM","0","NONE","56","0",""
"78513","1097620","","3","2","1053","Cream, fluid, heavy whipping","TB","10287","1 cup whipped","14.938","0",""
"78511","1097620","","1","8","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","FO","10205","1 cup","244","2154",""
"78517","1097621","1097548","4","122","11350000","Almond milk, sweetened","GM","0","NONE","122","0",""
"78516","1097621","","3","2","1053","Cream, fluid, heavy whipping","TB","10287","1 cup whipped","14.938","0",""
"78514","1097621","","1","122","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","122","0",""
"78515","1097621","","2","56","19924","Syrup, NESTLE, chocolate","GM","0","NONE","56","0",""
"78519","1097622","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78518","1097622","1097511","1","8","11100000","Milk, NFS","","30000","1 fl oz","244","0",""
"78521","1097623","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78520","1097623","","1","8","1077","Milk, whole, 3.25% milkfat, with added vitamin D","","30000","1 fl oz","244","0",""
"78522","1097624","","1","8","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78523","1097624","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78525","1097625","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
"78524","1097625","","1","8","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","","30000","1 fl oz","244","0",""
"78526","1097626","","1","8","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","","30000","1 fl oz","244","0",""
"78527","1097626","","2","16","14557","Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients","GM","0","NONE","16","0",""
