"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"237087","1097527","1","","9999","1 cup","10205","244","","",""
"260290","1097528","5","","9999","Quantity not specified","90000","244","","",""
"254026","1097528","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253776","1097528","3","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"241035","1097528","2","","9999","1 fl oz","30000","30.5","","",""
"237088","1097528","1","","9999","1 cup","10205","244","","",""
"260291","1097529","5","","9999","Quantity not specified","90000","244","","",""
"254027","1097529","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253777","1097529","3","","9999","Guideline amount per fl oz of beverage","63480","2.6","","",""
"241036","1097529","2","","9999","1 fl oz","30000","30.5","","",""
"237089","1097529","1","","9999","1 cup","10205","244","","",""
"260292","1097530","3","","9999","Quantity not specified","90000","244","","",""
"241037","1097530","2","","9999","1 fl oz","30000","30.5","","",""
"237090","1097530","1","","9999","1 cup","10205","244","","",""
"260293","1097531","5","","9999","Quantity not specified","90000","244","","",""
"254028","1097531","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253778","1097531","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241038","1097531","2","","9999","1 fl oz","30000","30.5","","",""
"237091","1097531","1","","9999","1 cup","10205","244","","",""
"260294","1097532","5","","9999","Quantity not specified","90000","244","","",""
"254029","1097532","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253779","1097532","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241039","1097532","2","","9999","1 fl oz","30000","30.5","","",""
"237092","1097532","1","","9999","1 cup","10205","244","","",""
"260295","1097533","5","","9999","Quantity not specified","90000","244","","",""
"254030","1097533","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
"253780","1097533","3","","9999","Guideline amount per fl oz of beverage","63480","2.5","","",""
"241040","1097533","2","","9999","1 fl oz","30000","30.5","","",""
"237093","1097533","1","","9999","1 cup","10205","244","","",""
"260296","1097534","5","","9999","Quantity not specified","90000","244","","",""
"254031","1097534","4","","9999","Guideline amount per cup of hot cereal","63546","61","","",""
