"id","description","last_updated"
"1098489","Chicken drumstick, NS as to cooking method, skin eaten","2020-10-30"
"1098490","Chicken drumstick, NS as to cooking method, skin not eaten","2020-10-30"
"1098491","Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw","2020-10-30"
"1098492","Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw","2020-10-30"
"1098493","Chicken drumstick, baked or broiled, skin eaten, from pre-cooked","2020-10-30"
"1098494","Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked","2020-10-30"
"1098495","Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant","2020-10-30"
"1098496","Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant","2020-10-30"
"1098497","Chicken drumstick, rotisserie, skin eaten","2020-10-30"
"1098498","Chicken drumstick, rotisserie, skin not eaten","2020-10-30"
"1098499","Chicken drumstick, grilled without sauce, skin eaten","2020-10-30"
"1098500","Chicken drumstick, grilled without sauce, skin not eaten","2020-10-30"
"1098501","Chicken drumstick, grilled with sauce, skin eaten","2020-10-30"
"1098502","Chicken drumstick, grilled with sauce, skin not eaten","2020-10-30"
"1098503","Chicken drumstick, stewed, skin eaten","2020-10-30"
"1098504","Chicken drumstick, stewed, skin not eaten","2020-10-30"
"1098505","Chicken drumstick, sauteed, skin eaten","2020-10-30"
"1098506","Chicken drumstick, sauteed, skin not eaten","2020-10-30"
"1098507","Chicken drumstick, fried, coated, skin / coating eaten, from raw","2020-10-30"
"1098508","Chicken drumstick, fried, coated, skin / coating not eaten, from raw","2020-10-30"
"1098509","Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw","2020-10-30"
"1098510","Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked","2020-10-30"
"1098511","Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked","2020-10-30"
"1098512","Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant","2020-10-30"
"1098513","Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant","2020-10-30"
"1098514","Chicken drumstick, baked, coated, skin / coating eaten","2020-10-30"
"1098515","Chicken drumstick, baked, coated, skin / coating not eaten","2020-10-30"
"1098516","Chicken thigh, NS as to cooking method, skin eaten","2020-10-30"
"1098517","Chicken thigh, NS as to cooking method, skin not eaten","2020-10-30"
"1098518","Chicken thigh, baked, broiled, or roasted, skin eaten, from raw","2020-10-30"
"1098519","Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw","2020-10-30"
"1098520","Chicken thigh, baked or broiled, skin eaten, from pre-cooked","2020-10-30"
"1098521","Chicken thigh, baked or broiled, skin not eaten, from pre-cooked","2020-10-30"
"1098522","Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant","2020-10-30"
"1098523","Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant","2020-10-30"
"1098524","Chicken thigh, rotisserie, skin eaten","2020-10-30"
"1098525","Chicken thigh, rotisserie, skin not eaten","2020-10-30"
"1098526","Chicken thigh, stewed, skin eaten","2020-10-30"
"1098527","Chicken thigh, stewed, skin not eaten","2020-10-30"
"1098528","Chicken thigh, grilled without sauce, skin eaten","2020-10-30"
"1098529","Chicken thigh, grilled without sauce, skin not eaten","2020-10-30"
"1098530","Chicken thigh, grilled with sauce, skin eaten","2020-10-30"
"1098531","Chicken thigh, grilled with sauce, skin not eaten","2020-10-30"
"1098532","Chicken thigh, sauteed, skin eaten","2020-10-30"
"1098533","Chicken thigh, sauteed, skin not eaten","2020-10-30"
"1098534","Chicken thigh, fried, coated, skin / coating eaten, from raw","2020-10-30"
"1098535","Chicken thigh, fried, coated, skin / coating not eaten, from raw","2020-10-30"
"1098536","Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw","2020-10-30"
"1098537","Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked","2020-10-30"
"1098538","Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked","2020-10-30"
"1098539","Chicken thigh, fried, coated, skin / coating eaten, from fast food","2020-10-30"
"1098540","Chicken thigh, fried, coated, skin / coating not eaten, from fast food","2020-10-30"
"1098541","Chicken thigh, fried, coated, skin / coating eaten, from restaurant","2020-10-30"
"1098542","Chicken thigh, fried, coated, skin / coating not eaten, from restaurant","2020-10-30"
"1098543","Chicken thigh, baked, coated, skin / coating eaten","2020-10-30"
"1098544","Chicken thigh, baked, coated, skin / coating not eaten","2020-10-30"
"1098545","Chicken wing, NS as to cooking method","2020-10-30"
"1098546","Chicken wing, baked, broiled, or roasted, from raw","2020-10-30"
"1098547","Chicken wing, baked or broiled, from pre-cooked","2020-10-30"
"1098548","Chicken wing, baked or broiled, from fast food / restaurant","2020-10-30"
"1098549","Chicken wing, rotisserie","2020-10-30"
"1098550","Chicken wing, stewed","2020-10-30"
"1098551","Chicken wing, grilled without sauce","2020-10-30"
"1098552","Chicken wing, grilled with sauce","2020-10-30"
"1098553","Chicken wing, sauteed","2020-10-30"
"1098554","Chicken wing, fried, coated, from raw","2020-10-30"
"1098555","Chicken wing, fried, coated, from pre-cooked","2020-10-30"
"1098556","Chicken wing, fried, coated, from fast food","2020-10-30"
"1098557","Chicken wing, fried, coated, from restaurant","2020-10-30"
"1098558","Chicken wing, baked, coated","2020-10-30"
"1098559","Chicken ""wings"" with hot sauce, from fast food / restaurant","2020-10-30"
"1098560","Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant","2020-10-30"
"1098561","Chicken ""wings"", plain, from fast food / restaurant","2020-10-30"
"1098562","Chicken ""wings"" with hot sauce, from precooked","2020-10-30"
"1098563","Chicken ""wings"" with other sauces or seasoning, from precooked","2020-10-30"
"1098564","Chicken ""wings"", plain, from precooked","2020-10-30"
"1098565","Chicken ""wings"" with hot sauce, from other sources","2020-10-30"
"1098566","Chicken ""wings"" with other sauces or seasoning, from other sources","2020-10-30"
"1098567","Chicken ""wings"", plain, from other sources","2020-10-30"
"1098568","Chicken ""wings"", boneless, with hot sauce, from fast food / restaurant","2020-10-30"
"1098569","Chicken ""wings"", boneless, with hot sauce, from other sources","2020-10-30"
"1098570","Chicken, back","2020-10-30"
"1098571","Chicken, neck or ribs","2020-10-30"
"1098572","Chicken, tail","2020-10-30"
"1098573","Chicken skin","2020-10-30"
"1098574","Chicken feet","2020-10-30"
"1098575","Chicken, canned, meat only","2020-10-30"
"1098576","Chicken, chicken roll, roasted","2020-10-30"
"1098577","Chicken patty, breaded","2020-10-30"
"1098578","Chicken fillet, breaded","2020-10-30"
"1098579","Chicken fillet, grilled","2020-10-30"
"1098580","Chicken, ground","2020-10-30"
"1098581","Chicken nuggets, NFS","2020-10-30"
"1098582","Chicken nuggets, from fast food","2020-10-30"
"1098583","Chicken nuggets, from restaurant","2020-10-30"
"1098584","Chicken nuggets, from school lunch","2020-10-30"
"1098585","Chicken nuggets, from frozen","2020-10-30"
"1098586","Chicken nuggets, from other sources","2020-10-30"
"1098587","Chicken tenders or strips, NFS","2020-10-30"
"1098588","Chicken tenders or strips, breaded, from fast food","2020-10-30"
"1098589","Chicken tenders or strips, breaded, from restaurant","2020-10-30"
"1098590","Chicken tenders or strips, breaded, from school lunch","2020-10-30"
"1098591","Chicken tenders or strips, breaded, from frozen","2020-10-30"
"1098592","Chicken tenders or strips, breaded, from other sources","2020-10-30"
"1098593","Fried chicken chunks, Puerto Rican style","2020-10-30"
"1098594","Turkey, NFS","2020-10-30"
"1098595","Turkey, light meat, skin not eaten","2020-10-30"
"1098596","Turkey, light meat, skin eaten","2020-10-30"
"1098597","Turkey, light meat, breaded, baked or fried, skin not eaten","2020-10-30"
"1098598","Turkey, light meat, breaded, baked or fried, skin eaten","2020-10-30"
"1098599","Turkey, light meat, roasted, skin not eaten","2020-10-30"
"1098600","Turkey, light meat, roasted, skin eaten","2020-10-30"
"1098601","Turkey, dark meat, roasted, skin not eaten","2020-10-30"
"1098602","Turkey, dark meat, roasted, skin eaten","2020-10-30"
"1098603","Turkey, light and dark meat, roasted, skin not eaten","2020-10-30"
"1098604","Turkey, light and dark meat, roasted, skin eaten","2020-10-30"
"1098605","Turkey, light or dark meat, fried, coated, skin not eaten","2020-10-30"
"1098606","Turkey, light or dark meat, fried, coated, skin eaten","2020-10-30"
"1098607","Turkey, light or dark meat, stewed, skin not eaten","2020-10-30"
"1098608","Turkey light or dark meat, stewed, skin eaten","2020-10-30"
"1098609","Turkey, light or dark meat, smoked, skin eaten","2020-10-30"
"1098610","Turkey, light or dark meat, smoked, skin not eaten","2020-10-30"
"1098611","Turkey, drumstick, cooked, skin not eaten","2020-10-30"
"1098612","Turkey, drumstick, cooked, skin eaten","2020-10-30"
"1098613","Turkey, drumstick, roasted, skin not eaten","2020-10-30"
"1098614","Turkey, drumstick, roasted, skin eaten","2020-10-30"
"1098615","Turkey, drumstick, smoked, skin eaten","2020-10-30"
"1098616","Turkey, thigh, cooked, skin eaten","2020-10-30"
"1098617","Turkey, thigh, cooked, skin not eaten","2020-10-30"
"1098618","Turkey, neck","2020-10-30"
"1098619","Turkey, wing, cooked, skin not eaten","2020-10-30"
"1098620","Turkey, wing, cooked, skin eaten","2020-10-30"
"1098621","Turkey, wing, smoked, skin eaten","2020-10-30"
"1098622","Turkey, tail","2020-10-30"
"1098623","Turkey, back","2020-10-30"
"1098624","Turkey, canned","2020-10-30"
"1098625","Turkey, ground","2020-10-30"
"1098626","Turkey, nuggets","2020-10-30"
"1098627","Turkey bacon, cooked","2020-10-30"
"1098628","Turkey bacon, reduced sodium, cooked","2020-10-30"
"1098629","Turkey with barbecue sauce, skin eaten","2020-10-30"
"1098630","Turkey with barbecue sauce, skin not eaten","2020-10-30"
"1098631","Duck, cooked, skin eaten","2020-10-30"
"1098632","Duck, cooked, skin not eaten","2020-10-30"
"1098633","Duck, roasted, skin eaten","2020-10-30"
"1098634","Duck, roasted, skin not eaten","2020-10-30"
"1098635","Duck, pressed, Chinese","2020-10-30"
"1098636","Goose, wild, roasted","2020-10-30"
"1098637","Cornish game hen, cooked, skin eaten","2020-10-30"
"1098638","Cornish game hen, cooked, skin not eaten","2020-10-30"
"1098639","Cornish game hen, roasted, skin eaten","2020-10-30"
"1098640","Cornish game hen, roasted, skin not eaten","2020-10-30"
"1098641","Dove, cooked, NS as to cooking method","2020-10-30"
"1098642","Dove, fried","2020-10-30"
"1098643","Quail, cooked","2020-10-30"
"1098644","Pheasant, cooked","2020-10-30"
"1098645","Chicken, baby food, NS as to strained or junior","2020-10-30"
"1098646","Chicken, baby food, strained","2020-10-30"
"1098647","Chicken, baby food, junior","2020-10-30"
"1098648","Turkey, baby food, NS as to strained or junior","2020-10-30"
"1098649","Turkey, baby food, strained","2020-10-30"
"1098650","Turkey, baby food, junior","2020-10-30"
"1098651","Chicken stick, baby food","2020-10-30"
"1098652","Turkey stick, baby food","2020-10-30"
"1098653","Beef liver, braised","2020-10-30"
"1098654","Beef liver, fried","2020-10-30"
"1098655","Chicken liver, braised","2020-10-30"
"1098656","Chicken liver, fried","2020-10-30"
"1098657","Liver paste or pate, chicken","2020-10-30"
"1098658","Heart, cooked","2020-10-30"
"1098659","Kidney, cooked","2020-10-30"
"1098660","Sweetbreads, cooked","2020-10-30"
"1098661","Brains, cooked","2020-10-30"
"1098662","Tongue, cooked","2020-10-30"
"1098663","Tongue, smoked, cured, or pickled, cooked","2020-10-30"
"1098664","Tongue pot roast, Puerto Rican style","2020-10-30"
"1098665","Tripe, cooked","2020-10-30"
"1098666","Chitterlings, cooked","2020-10-30"
"1098667","Hog maws, cooked","2020-10-30"
"1098668","Gizzard, cooked","2020-10-30"
"1098669","Frankfurter or hot dog, NFS","2020-10-30"
"1098670","Frankfurter or hot dog, cheese-filled","2020-10-30"
"1098671","Frankfurter or hot dog, beef","2020-10-30"
"1098672","Frankfurter or hot dog, beef and pork","2020-10-30"
"1098673","Frankfurter or hot dog, beef and pork, reduced fat or light","2020-10-30"
"1098674","Frankfurter or hot dog, meat and poultry, fat free","2020-10-30"
"1098675","Frankfurter or hot dog, meat and poultry","2020-10-30"
"1098676","Frankfurter or hot dog, meat and poultry, reduced fat or light","2020-10-30"
"1098677","Frankfurter or hot dog, chicken","2020-10-30"
"1098678","Frankfurter or hot dog, turkey","2020-10-30"
"1098679","Frankfurter or hot dog, beef, reduced fat or light","2020-10-30"
"1098680","Frankfurter or hot dog, reduced fat or light, NFS","2020-10-30"
"1098681","Beef sausage","2020-10-30"
"1098682","Beef sausage, reduced fat","2020-10-30"
"1098683","Beef sausage, reduced sodium","2020-10-30"
"1098684","Beef sausage with cheese","2020-10-30"
"1098685","Blood sausage","2020-10-30"
"1098686","Bratwurst","2020-10-30"
"1098687","Bratwurst, with cheese","2020-10-30"
"1098688","Bologna, NFS","2020-10-30"
"1098689","Bologna, made from any kind of meat, reduced fat","2020-10-30"
"1098690","Bologna, made from any kind of meat, reduced sodium","2020-10-30"
"1098691","Bologna, made from any kind of meat, reduced fat and reduced sodium","2020-10-30"
"1098692","Turkey or chicken and beef sausage","2020-10-30"
"1098693","Chorizo","2020-10-30"
"1098694","Head cheese","2020-10-30"
"1098695","Knockwurst","2020-10-30"
"1098696","Mortadella","2020-10-30"
"1098697","Pastrami, NFS","2020-10-30"
"1098698","Pastrami, made from any kind of meat, reduced fat","2020-10-30"
"1098699","Pepperoni, NFS","2020-10-30"
"1098700","Pepperoni, reduced fat","2020-10-30"
"1098701","Pepperoni, reduced sodium","2020-10-30"
"1098702","Polish sausage","2020-10-30"
"1098703","Italian sausage","2020-10-30"
"1098704","Sausage, NFS","2020-10-30"
"1098705","Pork sausage","2020-10-30"
"1098706","Pork sausage, reduced fat","2020-10-30"
"1098707","Pork sausage, reduced sodium","2020-10-30"
"1098708","Pork sausage rice links","2020-10-30"
"1098709","Pork and beef sausage","2020-10-30"
"1098710","Salami, NFS","2020-10-30"
"1098711","Salami, made from any type of meat, reduced fat","2020-10-30"
"1098712","Salami, made from any type of meat, reduced sodium","2020-10-30"
"1098713","Scrapple, cooked","2020-10-30"
"1098714","Thuringer","2020-10-30"
"1098715","Turkey or chicken sausage","2020-10-30"
"1098716","Turkey or chicken sausage, reduced sodium","2020-10-30"
"1098717","Turkey or chicken sausage, reduced fat","2020-10-30"
"1098718","Turkey or chicken and pork sausage","2020-10-30"
"1098719","Turkey or chicken, pork, and beef sausage, reduced sodium","2020-10-30"
"1098720","Vienna sausage, canned","2020-10-30"
"1098721","Pickled sausage","2020-10-30"
"1098722","Luncheon meat, NFS","2020-10-30"
"1098723","Ham, prepackaged or deli, luncheon meat","2020-10-30"
"1098724","Ham, prepackaged or deli, luncheon meat, reduced sodium","2020-10-30"
"1098725","Chicken, prepackaged or deli, luncheon meat","2020-10-30"
"1098726","Chicken, prepackaged or deli, luncheon meat, reduced sodium","2020-10-30"
"1098727","Ham luncheon meat, loaf type","2020-10-30"
"1098728","Ham and pork, canned luncheon meat, chopped, minced, pressed, spiced","2020-10-30"
"1098729","Ham, pork and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced fat and reduced sodium","2020-10-30"
"1098730","Ham, pork, and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced sodium","2020-10-30"
"1098731","Liverwurst","2020-10-30"
"1098732","Luncheon meat, loaf type","2020-10-30"
"1098733","Turkey, prepackaged or deli, luncheon meat","2020-10-30"
"1098734","Turkey, prepackaged or deli, luncheon meat, reduced sodium","2020-10-30"
"1098735","Turkey ham, prepackaged or deli, luncheon meat","2020-10-30"
"1098736","Beef, prepackaged or deli, luncheon meat","2020-10-30"
"1098737","Beef, prepackaged or deli, luncheon meat, reduced sodium","2020-10-30"
"1098738","Meat spread or potted meat, NFS","2020-10-30"
"1098739","Chicken salad spread","2020-10-30"
"1098740","Ham salad spread","2020-10-30"
"1098741","Fish, NS as to type, raw","2020-10-30"
"1098742","Fish, NS as to type, cooked, NS as to cooking method","2020-10-30"
"1098743","Fish, NS as to type, baked or broiled, made with oil","2020-10-30"
"1098744","Fish, NS as to type, baked or broiled, made with butter","2020-10-30"
"1098745","Fish, NS as to type, baked or broiled, made with margarine","2020-10-30"
"1098746","Fish, NS as to type, baked or broiled, no added fat","2020-10-30"
"1098747","Fish, NS as to type, baked or broiled, made with cooking spray","2020-10-30"
"1098748","Fish, NS as to type, coated, baked or broiled, made with oil","2020-10-30"
"1098749","Fish, NS as to type, coated, baked or broiled, made with butter","2020-10-30"
"1098750","Fish, NS as to type, coated, baked or broiled, made with margarine","2020-10-30"
"1098751","Fish, NS as to type, coated, baked or broiled, no added fat","2020-10-30"
"1098752","Fish, NS as to type, coated, baked or broiled, made with cooking spray","2020-10-30"
"1098753","Fish, NS as to type, coated, fried, made with oil","2020-10-30"
"1098754","Fish, NS as to type, coated, fried, made with butter","2020-10-30"
"1098755","Fish, NS as to type, coated, fried, made with margarine","2020-10-30"
"1098756","Fish, NS as to type, coated, fried, no added fat","2020-10-30"
"1098757","Fish, NS as to type, coated, fried, made with cooking spray","2020-10-30"
"1098758","Fish, NS as to type, steamed","2020-10-30"
"1098759","Fish, NS as to type, dried","2020-10-30"
"1098760","Fish, NS as to type, canned","2020-10-30"
"1098761","Fish, NS as to type, smoked","2020-10-30"
"1098762","Fish, NS as to type, from fast food","2020-10-30"
"1098763","Fish stick, patty or nugget from fast food","2020-10-30"
"1098764","Fish stick, patty or nugget from restaurant, home, or other place","2020-10-30"
"1098765","Anchovy, cooked, NS as to cooking method","2020-10-30"
"1098766","Anchovy, canned","2020-10-30"
"1098767","Barracuda, cooked, NS as to cooking method","2020-10-30"
"1098768","Barracuda, baked or broiled, fat added","2020-10-30"
"1098769","Barracuda, baked or broiled, no added fat","2020-10-30"
"1098770","Barracuda, coated, baked or broiled, fat added","2020-10-30"
"1098771","Barracuda, coated, baked or broiled, no added fat","2020-10-30"
"1098772","Barracuda, coated, fried","2020-10-30"
"1098773","Barracuda, steamed or poached","2020-10-30"
"1098774","Carp, cooked, NS as to cooking method","2020-10-30"
"1098775","Carp, baked or broiled, fat added","2020-10-30"
"1098776","Carp, baked or broiled, no added fat","2020-10-30"
"1098777","Carp, coated, baked or broiled, fat added","2020-10-30"
"1098778","Carp, coated, baked or broiled, no added fat","2020-10-30"
"1098779","Carp, coated, fried","2020-10-30"
"1098780","Carp, steamed or poached","2020-10-30"
"1098781","Carp, smoked","2020-10-30"
"1098782","Catfish, cooked, NS as to cooking method","2020-10-30"
"1098783","Catfish, baked or broiled, made with oil","2020-10-30"
"1098784","Catfish, baked or broiled, made with butter","2020-10-30"
"1098785","Catfish, baked or broiled, made with margarine","2020-10-30"
"1098786","Catfish, baked or broiled, no added fat","2020-10-30"
"1098787","Catfish, baked or broiled, made with cooking spray","2020-10-30"
"1098788","Catfish, coated, baked or broiled, made with oil","2020-10-30"
"1098789","Catfish, coated, baked or broiled, made with butter","2020-10-30"
"1098790","Catfish, coated, baked or broiled, made with margarine","2020-10-30"
"1098791","Catfish, coated, baked or broiled, no added fat","2020-10-30"
"1098792","Catfish, coated, baked or broiled, made with cooking spray","2020-10-30"
"1098793","Catfish, coated, fried, made with oil","2020-10-30"
"1098794","Catfish, coated, fried, made with butter","2020-10-30"
"1098795","Catfish, coated, fried, made with margarine","2020-10-30"
"1098796","Catfish, coated, fried, no added fat","2020-10-30"
"1098797","Catfish, coated, fried, made with cooking spray","2020-10-30"
"1098798","Catfish, steamed or poached","2020-10-30"
"1098799","Cod, cooked, NS as to cooking method","2020-10-30"
"1098800","Cod, baked or broiled, made with oil","2020-10-30"
"1098801","Cod, baked or broiled, made with butter","2020-10-30"
"1098802","Cod, baked or broiled, made with margarine","2020-10-30"
"1098803","Cod, baked or broiled, no added fat","2020-10-30"
"1098804","Cod, baked or broiled, made with cooking spray","2020-10-30"
"1098805","Cod, coated, baked or broiled, made with oil","2020-10-30"
"1098806","Cod, coated, baked or broiled, made with butter","2020-10-30"
"1098807","Cod, coated, baked or broiled, made with margarine","2020-10-30"
"1098808","Cod, coated, baked or broiled, no added fat","2020-10-30"
"1098809","Cod, coated, baked or broiled, made with cooking spray","2020-10-30"
"1098810","Cod, coated, fried, made with oil","2020-10-30"
"1098811","Cod, coated, fried, made with butter","2020-10-30"
"1098812","Cod, coated, fried, made with margarine","2020-10-30"
"1098813","Cod, coated, fried, no added fat","2020-10-30"
"1098814","Cod, coated, fried, made with cooking spray","2020-10-30"
"1098815","Cod, steamed or poached","2020-10-30"
"1098816","Cod, dried, salted","2020-10-30"
"1098817","Cod, dried, salted, salt removed in water","2020-10-30"
"1098818","Cod, smoked","2020-10-30"
"1098819","Croaker, cooked, NS as to cooking method","2020-10-30"
"1098820","Croaker, baked or broiled, fat added","2020-10-30"
"1098821","Croaker, baked or broiled, no added fat","2020-10-30"
"1098822","Croaker, coated, baked or broiled, fat added","2020-10-30"
"1098823","Croaker, coated, baked or broiled, no added fat","2020-10-30"
"1098824","Croaker, coated, fried","2020-10-30"
"1098825","Croaker, steamed or poached","2020-10-30"
"1098826","Eel, cooked, NS as to cooking method","2020-10-30"
"1098827","Eel, steamed or poached","2020-10-30"
"1098828","Eel, smoked","2020-10-30"
"1098829","Flounder, raw","2020-10-30"
"1098830","Flounder, cooked, NS as to cooking method","2020-10-30"
"1098831","Flounder, baked or broiled, made with oil","2020-10-30"
"1098832","Flounder, baked or broiled, made with butter","2020-10-30"
"1098833","Flounder, baked or broiled, made with margarine","2020-10-30"
"1098834","Flounder, baked or broiled, no added fat","2020-10-30"
"1098835","Flounder, baked or broiled, made with cooking spray","2020-10-30"
"1098836","Flounder, coated, baked or broiled, made with oil","2020-10-30"
"1098837","Flounder, coated, baked or broiled, made with butter","2020-10-30"
"1098838","Flounder, coated, baked or broiled, made with margarine","2020-10-30"
"1098839","Flounder, coated, baked or broiled, no added fat","2020-10-30"
"1098840","Flounder, coated, baked or broiled, made with cooking spray","2020-10-30"
"1098841","Flounder, coated, fried, made with oil","2020-10-30"
"1098842","Flounder, coated, fried, made with butter","2020-10-30"
"1098843","Flounder, coated, fried, made with margarine","2020-10-30"
"1098844","Flounder, coated, fried, no added fat","2020-10-30"
"1098845","Flounder, coated, fried, made with cooking spray","2020-10-30"
"1098846","Flounder, steamed or poached","2020-10-30"
"1098847","Flounder, smoked","2020-10-30"
"1098848","Haddock, cooked, NS as to cooking method","2020-10-30"
"1098849","Haddock, baked or broiled, fat added","2020-10-30"
"1098850","Haddock, baked or broiled, no added fat","2020-10-30"
"1098851","Haddock, coated, baked or broiled, fat added","2020-10-30"
"1098852","Haddock, coated, baked or broiled, no added fat","2020-10-30"
"1098853","Haddock, coated, fried","2020-10-30"
"1098854","Haddock, steamed or poached","2020-10-30"
"1098855","Haddock, smoked","2020-10-30"
"1098856","Halibut, raw","2020-10-30"
"1098857","Halibut, cooked, NS as to cooking method","2020-10-30"
"1098858","Halibut, baked or broiled, made with oil","2020-10-30"
"1098859","Halibut, baked or broiled, made with butter","2020-10-30"
"1098860","Halibut, baked or broiled, made with margarine","2020-10-30"
"1098861","Halibut, baked or broiled, no added fat","2020-10-30"
"1098862","Halibut, baked or broiled, made with cooking spray","2020-10-30"
"1098863","Halibut, coated, baked or broiled, made with oil","2020-10-30"
"1098864","Halibut, coated, baked or broiled, made with butter","2020-10-30"
"1098865","Halibut, coated, baked or broiled, made with margarine","2020-10-30"
"1098866","Halibut, coated, baked or broiled, no added fat","2020-10-30"
"1098867","Halibut, coated, baked or broiled, made with cooking spray","2020-10-30"
"1098868","Halibut, coated, fried, made with oil","2020-10-30"
"1098869","Halibut, coated, fried, made with butter","2020-10-30"
"1098870","Halibut, coated, fried, made with margarine","2020-10-30"
"1098871","Halibut, coated, fried, no added fat","2020-10-30"
"1098872","Halibut, coated, fried, made with cooking spray","2020-10-30"
"1098873","Halibut, steamed or poached","2020-10-30"
"1098874","Halibut, smoked","2020-10-30"
"1098875","Herring, raw","2020-10-30"
"1098876","Herring, cooked, NS as to cooking method","2020-10-30"
"1098877","Herring, baked or broiled, fat added","2020-10-30"
"1098878","Herring, baked or broiled, no added fat","2020-10-30"
"1098879","Herring, coated, baked or broiled, fat added","2020-10-30"
"1098880","Herring, coated, baked or broiled, no added fat","2020-10-30"
"1098881","Herring, coated, fried","2020-10-30"
"1098882","Herring, pickled, in cream sauce","2020-10-30"
"1098883","Herring, dried, salted","2020-10-30"
"1098884","Herring, pickled","2020-10-30"
"1098885","Herring, smoked, kippered","2020-10-30"
"1098886","Mackerel, raw","2020-10-30"
"1098887","Mackerel, cooked, NS as to cooking method","2020-10-30"
"1098888","Mackerel, baked or broiled, fat added","2020-10-30"
"1098889","Mackerel, baked or broiled, no added fat","2020-10-30"
"1098890","Mackerel, coated, baked or broiled, fat added","2020-10-30"
"1098891","Mackerel, coated, baked or broiled, no added fat","2020-10-30"
"1098892","Mackerel, coated, fried","2020-10-30"
"1098893","Mackerel, pickled","2020-10-30"
"1098894","Mackerel, canned","2020-10-30"
"1098895","Mackerel, smoked","2020-10-30"
"1098896","Mullet, raw","2020-10-30"
"1098897","Mullet, cooked, NS as to cooking method","2020-10-30"
"1098898","Mullet, baked or broiled, fat added","2020-10-30"
"1098899","Mullet, baked or broiled, no added fat","2020-10-30"
"1098900","Mullet, coated, baked or broiled, fat added","2020-10-30"
"1098901","Mullet, coated, baked or broiled, no added fat","2020-10-30"
"1098902","Mullet, coated, fried","2020-10-30"
"1098903","Mullet, steamed or poached","2020-10-30"
"1098904","Ocean perch, raw","2020-10-30"
"1098905","Ocean perch, cooked, NS as to cooking method","2020-10-30"
"1098906","Ocean perch, baked or broiled, fat added","2020-10-30"
"1098907","Ocean perch, baked or broiled, no added fat","2020-10-30"
"1098908","Ocean perch, coated, baked or broiled, fat added","2020-10-30"
"1098909","Ocean perch, coated, baked or broiled, no added fat","2020-10-30"
"1098910","Ocean perch, coated, fried","2020-10-30"
"1098911","Ocean perch, steamed or poached","2020-10-30"
"1098912","Perch, cooked, NS as to cooking method","2020-10-30"
"1098913","Perch, baked or broiled, made with oil","2020-10-30"
"1098914","Perch, baked or broiled, made with butter","2020-10-30"
"1098915","Perch, baked or broiled, made with margarine","2020-10-30"
"1098916","Perch, baked or broiled, no added fat","2020-10-30"
"1098917","Perch, baked or broiled, made with cooking spray","2020-10-30"
"1098918","Perch, coated, baked or broiled, made with oil","2020-10-30"
"1098919","Perch, coated, baked or broiled, made with butter","2020-10-30"
"1098920","Perch, coated, baked or broiled, made with margarine","2020-10-30"
"1098921","Perch, coated, baked or broiled, no added fat","2020-10-30"
"1098922","Perch, coated, baked or broiled, made with cooking spray","2020-10-30"
"1098923","Perch, coated, fried, made with oil","2020-10-30"
"1098924","Perch, coated, fried, made with butter","2020-10-30"
"1098925","Perch, coated, fried, made with margarine","2020-10-30"
"1098926","Perch, coated, fried, no added fat","2020-10-30"
"1098927","Perch, coated, fried, made with cooking spray","2020-10-30"
"1098928","Perch, steamed or poached","2020-10-30"
"1098929","Pike, cooked, NS as to cooking method","2020-10-30"
"1098930","Pike, baked or broiled, fat added","2020-10-30"
"1098931","Pike, baked or broiled, no added fat","2020-10-30"
"1098932","Pike, coated, baked or broiled, fat added","2020-10-30"
"1098933","Pike, coated, baked or broiled, no added fat","2020-10-30"
"1098934","Pike, coated, fried","2020-10-30"
"1098935","Pike, steamed or poached","2020-10-30"
"1098936","Pompano, raw","2020-10-30"
"1098937","Pompano, cooked, NS as to cooking method","2020-10-30"
"1098938","Pompano, baked or broiled, fat added","2020-10-30"
"1098939","Pompano, baked or broiled, no added fat","2020-10-30"
"1098940","Pompano, coated, baked or broiled, fat added","2020-10-30"
"1098941","Pompano, coated, baked or broiled, no added fat","2020-10-30"
"1098942","Pompano, coated, fried","2020-10-30"
"1098943","Pompano, steamed or poached","2020-10-30"
"1098944","Pompano, smoked","2020-10-30"
"1098945","Porgy, raw","2020-10-30"
