"id","description","last_updated"
"1097616","Hot chocolate / Cocoa, ready to drink","2020-10-30"
"1097617","Hot chocolate / Cocoa, ready to drink, made with nonfat milk","2020-10-30"
"1097618","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk","2020-10-30"
"1097619","Hot chocolate / Cocoa, ready to drink, with whipped cream","2020-10-30"
"1097620","Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","2020-10-30"
"1097621","Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream","2020-10-30"
"1097622","Chocolate milk, made from dry mix, NS as to type of milk","2020-10-30"
"1097623","Chocolate milk, made from dry mix with whole milk","2020-10-30"
"1097624","Chocolate milk, made from dry mix with reduced fat milk","2020-10-30"
"1097625","Chocolate milk, made from dry mix with low fat milk","2020-10-30"
"1097626","Chocolate milk, made from dry mix with fat free milk","2020-10-30"
"1097627","Chocolate milk, made from dry mix with non-dairy milk","2020-10-30"
"1097628","Chocolate milk, made from reduced sugar mix, NS as to type of milk","2020-10-30"
"1097629","Chocolate milk, made from reduced sugar mix with whole milk","2020-10-30"
"1097630","Chocolate milk, made from reduced sugar mix with reduced fat milk","2020-10-30"
"1097631","Chocolate milk, made from reduced sugar mix with low fat milk","2020-10-30"
"1097632","Chocolate milk, made from reduced sugar mix with fat free milk","2020-10-30"
"1097633","Chocolate milk, made from reduced sugar mix with non-dairy milk","2020-10-30"
"1097634","Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)","2020-10-30"
"1097635","Chocolate milk, made from dry mix with whole milk (Nesquik)","2020-10-30"
"1097636","Chocolate milk, made from dry mix with reduced fat milk (Nesquik)","2020-10-30"
"1097637","Chocolate milk, made from dry mix with low fat milk (Nesquik)","2020-10-30"
"1097638","Chocolate milk, made from dry mix with fat free milk (Nesquik)","2020-10-30"
"1097639","Chocolate milk, made from dry mix with non-dairy milk (Nesquik)","2020-10-30"
"1097640","Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)","2020-10-30"
"1097641","Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)","2020-10-30"
"1097642","Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)","2020-10-30"
"1097643","Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)","2020-10-30"
"1097644","Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)","2020-10-30"
"1097645","Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)","2020-10-30"
"1097646","Chocolate milk, made from syrup, NS as to type of milk","2020-10-30"
"1097647","Chocolate milk, made from syrup with whole milk","2020-10-30"
"1097648","Chocolate milk, made from syrup with reduced fat milk","2020-10-30"
"1097649","Chocolate milk, made from syrup with low fat milk","2020-10-30"
"1097650","Chocolate milk, made from syrup with fat free milk","2020-10-30"
"1097651","Chocolate milk, made from syrup with non-dairy milk","2020-10-30"
"1097652","Chocolate milk, made from light syrup, NS as to type of milk","2020-10-30"
"1097653","Chocolate milk, made from light syrup with whole milk","2020-10-30"
"1097654","Chocolate milk, made from light syrup with reduced fat milk","2020-10-30"
"1097655","Chocolate milk, made from light syrup with low fat milk","2020-10-30"
"1097656","Chocolate milk, made from light syrup with fat free milk","2020-10-30"
"1097657","Chocolate milk, made from light syrup with non-dairy milk","2020-10-30"
"1097658","Chocolate milk, made from sugar free syrup, NS as to type of milk ","2020-10-30"
"1097659","Chocolate milk, made from sugar free syrup with whole milk","2020-10-30"
"1097660","Chocolate milk, made from sugar free syrup with reduced fat milk","2020-10-30"
"1097661","Chocolate milk, made from sugar free syrup with low fat milk","2020-10-30"
"1097662","Chocolate milk, made from sugar free syrup with fat free milk","2020-10-30"
"1097663","Chocolate milk, made from sugar free syrup with non-dairy milk","2020-10-30"
"1097664","Hot chocolate / Cocoa, made with dry mix and water","2020-10-30"
"1097665","Hot chocolate / Cocoa, made with dry mix and whole milk","2020-10-30"
"1097666","Hot chocolate / Cocoa, made with dry mix and reduced fat milk","2020-10-30"
"1097667","Hot chocolate / Cocoa, made with dry mix and low fat milk","2020-10-30"
"1097668","Hot chocolate / Cocoa, made with dry mix and fat free milk","2020-10-30"
"1097669","Hot chocolate / Cocoa, made with dry mix and non-dairy milk","2020-10-30"
"1097670","Hot chocolate / Cocoa, made with no sugar added dry mix and water","2020-10-30"
"1097671","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk","2020-10-30"
"1097672","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk","2020-10-30"
"1097673","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk","2020-10-30"
"1097674","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk","2020-10-30"
"1097675","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk","2020-10-30"
"1097676","Strawberry milk, NFS","2020-10-30"
"1097677","Strawberry milk, whole","2020-10-30"
"1097678","Strawberry milk, reduced fat","2020-10-30"
"1097679","Strawberry milk, low fat","2020-10-30"
"1097680","Strawberry milk, fat free","2020-10-30"
"1097681","Strawberry milk, reduced sugar","2020-10-30"
"1097682","Strawberry milk, non-dairy","2020-10-30"
"1097683","Milk, malted","2020-10-30"
"1097684","Eggnog","2020-10-30"
"1097685","Milk shake, home recipe, chocolate","2020-10-30"
"1097686","Milk shake, home recipe, flavors other than chocolate","2020-10-30"
"1097687","Milk shake, home recipe, chocolate, light","2020-10-30"
"1097688","Milk shake, home recipe, flavors other than chocolate, light","2020-10-30"
"1097689","Milk shake with malt","2020-10-30"
"1097690","Milk shake, fast food, chocolate","2020-10-30"
"1097691","Milk shake, fast food, flavors other than chocolate","2020-10-30"
"1097692","Milk shake, bottled, chocolate","2020-10-30"
"1097693","Milk shake, bottled, flavors other than chocolate","2020-10-30"
"1097694","Licuado or Batido","2020-10-30"
"1097695","Fruit smoothie, NFS","2020-10-30"
"1097696","Fruit smoothie, with whole fruit and dairy","2020-10-30"
"1097697","Fruit smoothie, with whole fruit and dairy, added protein","2020-10-30"
"1097698","Fruit smoothie juice drink, with dairy","2020-10-30"
"1097699","Chocolate milk drink","2020-10-30"
"1097700","Infant formula, NFS","2020-10-30"
"1097701","Infant formula, NS as to form (Similac Expert Care Alimentum)","2020-10-30"
"1097702","Infant formula, ready-to-feed (Similac Expert Care Alimentum)","2020-10-30"
"1097703","Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)","2020-10-30"
"1097704","Infant formula, powder, made with tap water (Similac Expert Care Alimentum)","2020-10-30"
"1097705","Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)","2020-10-30"
"1097706","Infant formula, powder, made with baby water (Similac Expert Care Alimentum)","2020-10-30"
"1097707","Infant formula, NS as to form (Similac Advance)","2020-10-30"
"1097708","Infant formula, ready-to-feed (Similac Advance)","2020-10-30"
"1097709","Infant formula, liquid concentrate, made with water, NFS (Similac Advance)","2020-10-30"
"1097710","Infant formula, powder, made with water, NFS (Similac Advance)","2020-10-30"
"1097711","Infant formula, liquid concentrate, made with tap water (Similac Advance)","2020-10-30"
"1097712","Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)","2020-10-30"
"1097713","Infant formula, liquid concentrate, made with baby water (Similac Advance)","2020-10-30"
"1097714","Infant formula, powder, made with tap water (Similac Advance)","2020-10-30"
"1097715","Infant formula, powder, made with plain bottled water (Similac Advance)","2020-10-30"
"1097716","Infant formula, powder, made with baby water (Similac Advance)","2020-10-30"
"1097717","Infant formula, NS as to form (Similac Advance Organic)","2020-10-30"
"1097718","Infant formula, ready-to-feed (Similac Advance Organic)","2020-10-30"
"1097719","Infant formula, powder, made with water, NFS (Similac Advance Organic)","2020-10-30"
"1097720","Infant formula, powder, made with tap water (Similac Advance Organic)","2020-10-30"
"1097721","Infant formula, powder, made with plain bottled water (Similac Advance Organic)","2020-10-30"
"1097722","Infant formula, powder, made with baby water (Similac Advance Organic)","2020-10-30"
"1097723","Infant formula, NS as to form (Similac Sensitive)","2020-10-30"
"1097724","Infant formula, ready-to-feed (Similac Sensitive)","2020-10-30"
"1097725","Infant formula, liquid concentrate, made with water, NFS (Similac Sensitive)","2020-10-30"
"1097726","Infant formula, powder, made with water, NFS (Similac Sensitive)","2020-10-30"
"1097727","Infant formula, liquid concentrate, made with tap water (Similac Sensitive)","2020-10-30"
"1097728","Infant formula, liquid concentrate, made with plain bottled water (Similac Sensitive)","2020-10-30"
"1097729","Infant formula, liquid concentrate, made with baby water (Similac Sensitive)","2020-10-30"
"1097730","Infant formula, powder, made with tap water (Similac Sensitive)","2020-10-30"
"1097731","Infant formula, powder, made with plain bottled water (Similac Sensitive)","2020-10-30"
"1097732","Infant formula, powder, made with baby water (Similac Sensitive)","2020-10-30"
"1097733","Infant formula, NS as to form (Similac for Spit-Up)","2020-10-30"
"1097734","Infant formula, ready-to-feed (Similac for Spit-Up)","2020-10-30"
"1097735","Infant formula, powder, made with water, NFS (Similac for Spit-Up)","2020-10-30"
"1097736","Infant formula, NS as to form (Similac Expert Care NeoSure)","2020-10-30"
"1097737","Infant formula, ready-to-feed (Similac Expert Care NeoSure)","2020-10-30"
"1097738","Infant formula, powder, made with water, NFS (Similac Expert Care NeoSure)","2020-10-30"
"1097739","Infant formula, powder, made with tap water (Similac Expert Care NeoSure)","2020-10-30"
"1097740","Infant formula, powder, made with plain bottled water (Similac Expert Care NeoSure)","2020-10-30"
"1097741","Infant formula, powder, made with baby water (Similac Expert Care NeoSure)","2020-10-30"
"1097742","Infant formula, NS as to form (Similac Go and Grow)","2020-10-30"
"1097743","Infant formula, powder, made with water, NFS (Similac Go and Grow)","2020-10-30"
"1097744","Infant formula, NS as to form (Enfamil Newborn)","2020-10-30"
"1097745","Infant formula, ready-to-feed (Enfamil Newborn)","2020-10-30"
"1097746","Infant formula, powder, made with water, NFS (Enfamil Newborn)","2020-10-30"
"1097747","Infant formula, powder, made with tap water (Enfamil Newborn)","2020-10-30"
"1097748","Infant formula, powder, made with plain bottled water (Enfamil Newborn)","2020-10-30"
"1097749","Infant formula, powder, made with baby water (Enfamil Newborn)","2020-10-30"
"1097750","Infant formula, NS as to form (Enfamil Infant)","2020-10-30"
"1097751","Infant formula, ready-to-feed (Enfamil Infant)","2020-10-30"
"1097752","Infant formula, liquid concentrate, made with water, NFS (Enfamil Infant)","2020-10-30"
"1097753","Infant formula, liquid concentrate, made with tap water (Enfamil Infant)","2020-10-30"
"1097754","Infant formula, liquid concentrate, made with plain bottled water (Enfamil Infant)","2020-10-30"
"1097755","Infant formula, liquid concentrate, made with baby water (Enfamil Infant)","2020-10-30"
"1097756","Infant formula, powder, made with water, NFS (Enfamil Infant)","2020-10-30"
"1097757","Infant formula, powder, made with tap water (Enfamil Infant)","2020-10-30"
"1097758","Infant formula, powder, made with plain bottled water (Enfamil Infant)","2020-10-30"
"1097759","Infant formula, powder, made with baby water (Enfamil Infant)","2020-10-30"
"1097760","Infant formula, NS as to form (Enfamil A.R.)","2020-10-30"
"1097761","Infant formula, ready-to-feed (Enfamil A.R.)","2020-10-30"
"1097762","Infant formula, powder, made with water, NFS (Enfamil A.R.)","2020-10-30"
"1097763","Infant formula, powder, made with tap water (Enfamil A.R.)","2020-10-30"
"1097764","Infant formula, NS as to form (Enfamil EnfaCare)","2020-10-30"
"1097765","Infant formula, ready-to-feed (Enfamil EnfaCare)","2020-10-30"
"1097766","Infant formula, powder, made with water, NFS (Enfamil EnfaCare)","2020-10-30"
"1097767","Infant formula, powder, made with plain bottled water (Enfamil A.R.)","2020-10-30"
"1097768","Infant formula, powder, made with baby water (Enfamil A.R.)","2020-10-30"
"1097769","Infant formula, NS as to form (Enfamil Gentlease)","2020-10-30"
"1097770","Infant formula, ready-to-feed (Enfamil Gentlease)","2020-10-30"
"1097771","Infant formula, powder, made with water, NFS (Enfamil Gentlease)","2020-10-30"
"1097772","Infant formula, powder, made with tap water (Enfamil EnfaCare)","2020-10-30"
"1097773","Infant formula, powder, made with plain bottled water (Enfamil EnfaCare)","2020-10-30"
"1097774","Infant formula, powder, made with baby water (Enfamil EnfaCare)","2020-10-30"
"1097775","Infant formula, powder, made with tap water (Enfamil Gentlease)","2020-10-30"
"1097776","Infant formula, powder, made with plain bottled water (Enfamil Gentlease)","2020-10-30"
"1097777","Infant formula, powder, made with baby water (Enfamil Gentlease)","2020-10-30"
"1097778","Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions)","2020-10-30"
"1097779","Infant formula, ready-to-feed (Enfamil Enfragrow Toddler Transitions)","2020-10-30"
"1097780","Infant formula, powder, made with water, NFS (Enfamil Enfragrow Toddler Transitions)","2020-10-30"
"1097781","Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions)","2020-10-30"
"1097782","Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions)","2020-10-30"
"1097783","Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions)","2020-10-30"
"1097784","Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Gentlease)","2020-10-30"
"1097785","Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Gentlease)","2020-10-30"
"1097786","Infant formula, powder, made with tap water (Enfamil Enfagrow Toddler Transitions Gentlease)","2020-10-30"
"1097787","Infant formula, powder, made with plain bottled water (Enfamil Enfagrow Toddler Transitions Gentlease)","2020-10-30"
"1097788","Infant formula, powder, made with baby water (Enfamil Enfagrow Toddler Transitions Gentlease)","2020-10-30"
"1097789","Infant formula, NS as to form (PediaSure)","2020-10-30"
"1097790","Infant formula, ready-to-feed (PediaSure)","2020-10-30"
"1097791","Infant formula, with fiber, NS as to form (PediaSure Fiber)","2020-10-30"
"1097792","Infant formula, with fiber, ready-to-feed (PediaSure Fiber)","2020-10-30"
"1097793","Infant formula, NS as to form (Gerber Good Start Gentle)","2020-10-30"
"1097794","Infant formula, ready-to-feed (Gerber Good Start Gentle)","2020-10-30"
"1097795","Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Gentle)","2020-10-30"
"1097796","Infant formula, powder, made with water, NFS (Gerber Good Start Gentle)","2020-10-30"
"1097797","Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)","2020-10-30"
"1097798","Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Gentle)","2020-10-30"
"1097799","Infant formula, liquid concentrate, made with baby water (Gerber Good Start Gentle)","2020-10-30"
"1097800","Infant formula, powder, made with tap water (Gerber Good Start Gentle)","2020-10-30"
"1097801","Infant formula, powder, made with plain bottled water (Gerber Good Start Gentle)","2020-10-30"
"1097802","Infant formula, powder, made with baby water (Gerber Good Start Gentle)","2020-10-30"
"1097803","Infant formula, NS as to form (Gerber Good Start Protect)","2020-10-30"
"1097804","Infant formula, powder, made with water, NFS (Gerber Good Start Protect)","2020-10-30"
"1097805","Infant formula, powder, made with tap water (Gerber Good Start Protect)","2020-10-30"
"1097806","Infant formula, powder, made with plain bottled water (Gerber Good Start Protect)","2020-10-30"
"1097807","Infant formula, powder, made with baby water (Gerber Good Start Protect)","2020-10-30"
"1097808","Infant formula, NS as to form (Gerber Graduates Gentle)","2020-10-30"
"1097809","Infant formula, NS as to form (Gerber Graduates Protect)","2020-10-30"
"1097810","Infant formula, NS as to form (Store Brand)","2020-10-30"
"1097811","Infant formula, liquid concentrate, made with water, NFS (Store Brand)","2020-10-30"
"1097812","Infant formula, powder, made with water, NFS (Store Brand)","2020-10-30"
"1097813","Infant formula, ready-to-feed (Store Brand)","2020-10-30"
"1097814","Infant formula, liquid concentrate, made with tap water (Store Brand)","2020-10-30"
"1097815","Infant formula, liquid concentrate, made with plain bottled water (Store Brand)","2020-10-30"
"1097816","Infant formula, liquid concentrate, made with baby water (Store Brand)","2020-10-30"
"1097817","Infant formula, powder, made with tap water (Store Brand)","2020-10-30"
"1097818","Infant formula, powder, made with plain bottled water (Store Brand)","2020-10-30"
"1097819","Infant formula, powder, made with baby water (Store Brand)","2020-10-30"
"1097820","Infant formula, NS as to form (Enfamil ProSobee)","2020-10-30"
"1097821","Infant formula, ready-to-feed (Enfamil ProSobee)","2020-10-30"
"1097822","Infant formula, liquid concentrate, made with water, NFS (Enfamil ProSobee)","2020-10-30"
"1097823","Infant formula, powder, made with water, NFS (Enfamil ProSobee)","2020-10-30"
"1097824","Infant formula, liquid concentrate, made with tap water (Enfamil ProSobee)","2020-10-30"
"1097825","Infant formula, liquid concentrate, made with plain bottled water (Enfamil ProSobee)","2020-10-30"
"1097826","Infant formula, liquid concentrate, made with baby water (Enfamil ProSobee)","2020-10-30"
"1097827","Infant formula, powder, made with tap water (Enfamil ProSobee)","2020-10-30"
"1097828","Infant formula, powder, made with plain bottled water (Enfamil ProSobee)","2020-10-30"
"1097829","Infant formula, powder, made with baby water (Enfamil ProSobee)","2020-10-30"
"1097830","Infant formula, NS as to form (Enfamil Enfagrow Toddler Transitions Soy)","2020-10-30"
"1097831","Infant formula, powder, made with water, NFS (Enfamil Enfagrow Toddler Transitions Soy)","2020-10-30"
"1097832","Infant formula, NS as to form (Similac Isomil Soy)","2020-10-30"
"1097833","Infant formula, ready-to-feed (Similac Isomil Soy)","2020-10-30"
"1097834","Infant formula, liquid concentrate, made with water, NFS (Similac Isomil Soy)","2020-10-30"
"1097835","Infant formula, powder, made with water, NFS (Similac Isomil Soy)","2020-10-30"
"1097836","Infant formula, liquid concentrate, made with tap water (Similac Isomil Soy)","2020-10-30"
"1097837","Infant formula, liquid concentrate, made with plain bottled water (Similac Isomil Soy)","2020-10-30"
"1097838","Infant formula, liquid concentrate, made with baby water (Similac Isomil Soy)","2020-10-30"
"1097839","Infant formula, powder, made with tap water (Similac Isomil Soy)","2020-10-30"
"1097840","Infant formula, powder, made with plain bottled water (Similac Isomil Soy)","2020-10-30"
"1097841","Infant formula, powder, made with baby water (Similac Isomil Soy)","2020-10-30"
"1097842","Infant formula, NS as to form (Similac Expert Care for Diarrhea)","2020-10-30"
"1097843","Infant formula, ready-to-feed (Similac Expert Care for Diarrhea)","2020-10-30"
"1097844","Infant formula, NS as to form (Gerber Good Start Soy)","2020-10-30"
"1097845","Infant formula, ready-to-feed (Gerber Good Start Soy)","2020-10-30"
"1097846","Infant formula, liquid concentrate, made with water, NFS (Gerber Good Start Soy)","2020-10-30"
"1097847","Infant formula, powder, made with water, NFS (Gerber Good Start Soy)","2020-10-30"
"1097848","Infant formula, liquid concentrate, made with tap water (Gerber Good Start Soy)","2020-10-30"
"1097849","Infant formula, liquid concentrate, made with plain bottled water (Gerber Good Start Soy)","2020-10-30"
"1097850","Infant formula, liquid concentrate, made with baby water (Gerber Good Start Soy)","2020-10-30"
"1097851","Infant formula, powder, made with tap water (Gerber Good Start Soy)","2020-10-30"
"1097852","Infant formula, powder, made with plain bottled water (Gerber Good Start Soy)","2020-10-30"
"1097853","Infant formula, powder, made with baby water (Gerber Good Start Soy)","2020-10-30"
"1097854","Infant formula, NS as to form (Gerber Graduates Soy)","2020-10-30"
"1097855","Infant formula, NS as to form (Store Brand Soy)","2020-10-30"
"1097856","Infant formula, ready-to-feed (Store brand Soy)","2020-10-30"
"1097857","Infant formula, liquid concentrate, made with water, NFS (Store Brand Soy)","2020-10-30"
"1097858","Infant formula, powder, made with water, NFS (Store Brand Soy)","2020-10-30"
"1097859","Infant formula, powder, made with tap water (Store Brand Soy)","2020-10-30"
"1097860","Infant formula, powder, made with plain bottled water (Store Brand Soy)","2020-10-30"
"1097861","Infant formula, powder, made with baby water (Store Brand Soy)","2020-10-30"
"1097862","Infant formula, NS as to form (Enfamil Nutramigen)","2020-10-30"
"1097863","Infant formula, ready-to-feed (Enfamil Nutramigen)","2020-10-30"
"1097864","Infant formula, liquid concentrate, made with water, NFS (Enfamil Nutramigen)","2020-10-30"
"1097865","Infant formula, powder, made with water, NFS (Enfamil Nutramigen)","2020-10-30"
"1097866","Infant formula, NS as to form (PurAmino)","2020-10-30"
"1097867","Infant formula, powder, made with water, NFS (PurAmino)","2020-10-30"
"1097868","Infant formula, NS as to form (Enfamil Pregestimil)","2020-10-30"
"1097869","Infant formula, ready-to-feed (Enfamil Pregestimil)","2020-10-30"
"1097870","Infant formula, powder, made with water, NFS (Enfamil Pregestimil)","2020-10-30"
"1097871","Infant formula, ready-to-feed, low iron (Enfamil Premature 20 Cal)","2020-10-30"
"1097872","Infant formula, ready-to-feed, with iron (Enfamil Premature 20 Cal)","2020-10-30"
"1097873","Milk, dry, not reconstituted, NS as to fat content ","2020-10-30"
"1097874","Milk, dry, not reconstituted, whole","2020-10-30"
"1097875","Milk, dry, not reconstituted, low fat (1%)","2020-10-30"
"1097876","Milk, dry, not reconstituted, fat free (skim)","2020-10-30"
"1097877","Whey, sweet, dry","2020-10-30"
"1097878","Cocoa powder, not reconstituted","2020-10-30"
"1097879","Chocolate beverage powder, dry mix, not reconstituted ","2020-10-30"
"1097880","Chocolate beverage powder, light, dry mix, not reconstituted","2020-10-30"
"1097881","Milk, malted, dry mix, not reconstituted","2020-10-30"
"1097882","Strawberry beverage powder, dry mix, not reconstituted","2020-10-30"
"1097883","Cream, NS as to light, heavy, or half and half","2020-10-30"
"1097884","Cream, light","2020-10-30"
"1097885","Cream, half and half","2020-10-30"
"1097886","Cream, half and half, flavored","2020-10-30"
"1097887","Cream, half and half, fat free","2020-10-30"
"1097888","Cream, heavy","2020-10-30"
"1097889","Cream, whipped","2020-10-30"
"1097890","Coffee creamer, NFS","2020-10-30"
"1097891","Coffee creamer, liquid","2020-10-30"
